Tract,PAV,SAV,TotalPopulation
100,1194,1009,5183
200,1659,1452,6282
400,359,377,1805
500,1447,1333,5572
600,1425,1402,6350
700,187,107,3121
1001,645,543,2740
1002,360,283,6998
1100,1217,1379,4356
1201,1117,1093,4030
1202,1297,1377,4141
1300,1160,977,4655
1400,653,672,2281
1500,1244,1154,4637
1600,675,626,2304
1700,1149,1100,4439
1800,808,819,4336
1900,837,739,5188
2100,508,324,2640
2300,141,103,1500
2400,326,220,2645
2500,346,257,2271
2600,196,139,1777
2800,598,500,5005
2900,673,616,2385
3000,979,1016,3325
3100,465,295,1974
3200,659,615,2251
3500,332,230,2175
3600,260,262,1358
3700,0,0,136
3800,88,67,4091
3900,238,165,2522
4000,402,247,2522
4100,285,199,2127
4200,238,197,2546
4300,280,268,3060
4400,300,268,2516
4800,156,114,1158
4900,615,446,2565
5000,493,414,2013
5200,1405,1177,5661
5300,845,754,3619
5501,300,210,2298
5502,271,234,2523
5700,187,158,1708
5800,252,138,1924
6000,304,204,3643
6100,496,278,3758
6200,208,139,1664
6300,201,106,1384
6400,158,101,1075
6500,616,349,4726
6601,277,180,2087
6602,174,112,1356
6700,394,294,4051
6802,108,96,2180
6900,627,435,3861
7001,413,272,4797
7002,273,195,2548
7100,189,103,2266
7200,246,149,2307
7300,858,485,7880
7400,340,204,3435
7500,444,280,3280
7602,256,128,2737
7603,449,301,4613
7604,296,180,2536
7703,485,319,4403
7704,717,436,5852
7705,454,327,4618
7706,1445,1072,9593
7802,1505,855,10402
7805,355,212,3540
7806,717,429,7035
7807,335,243,3564
7808,219,194,4447
7900,754,491,5455
8000,748,401,5965
8101,119,84,1301
8102,544,348,6876
8201,631,381,5555
8202,190,131,2090
8301,351,176,2556
8302,185,125,1653
8400,288,189,2785
8500,262,167,2546
8601,264,222,3943
8602,180,108,1348
8700,751,502,5178
8800,1019,887,4665
8902,1740,1597,6766
8903,356,327,1824
8904,1196,1205,4889
9000,1310,1120,5248
9101,1230,1306,4551
9102,823,777,3160
9200,1497,1320,6800
9300,1365,1334,4916
9402,1434,1343,4957
9403,1007,783,4833
9404,1011,1042,4475
9501,500,488,3631
9502,755,728,3592
9601,793,743,2670
9602,993,1014,4953
9603,1304,1340,4401
9700,570,420,3855
9801,732,555,4787
9802,835,692,4648
9900,1025,963,4980
10001,1082,1035,4935
10002,1698,1647,7624
10106,922,734,4382
10107,319,224,2004
10108,584,434,3662
10110,1258,1079,6668
10113,1030,862,5339
10114,1425,1298,6738
10115,411,316,2526
10117,734,637,3969
