CT,SAV,PAV,POP,PCT_PAV,PCT_SAV,RIDESHARE,ADULTS,PCT_PAV1,PCT_SAV1
48453000101,799,758,4263,0.177809055,0.187426695,771,3576,0.21196868,0.223434004
48453000102,326,347,2640,0.131439394,0.123484848,350,2160,0.160648148,0.150925926
48453000203,324,373,1594,0.234002509,0.203262233,319,1518,0.24571805,0.213438735
48453000204,585,592,3060,0.193464052,0.191176471,587,2701,0.219178082,0.216586449
48453000205,1039,940,3937,0.238760478,0.263906528,1014,3587,0.26205743,0.289657095
48453000206,742,698,3292,0.212029162,0.225394897,708,2819,0.247605534,0.263213906
48453000302,1162,1176,4964,0.236905721,0.234085415,1108,4528,0.259717314,0.256625442
48453000304,661,592,3029,0.195444041,0.218223836,625,2708,0.218611521,0.244091581
48453000305,785,777,3666,0.211947627,0.214129842,740,3282,0.236745887,0.239183425
48453000306,801,903,4869,0.185459026,0.164510166,758,3969,0.227513228,0.201814059
48453000307,376,351,1786,0.196528555,0.210526316,366,1545,0.227184466,0.243365696
48453000401,813,813,4087,0.198923416,0.198923416,811,3776,0.215307203,0.215307203
48453000402,445,596,3400,0.175294118,0.130882353,397,2884,0.20665742,0.154299584
48453000500,719,765,4486,0.170530539,0.160276416,737,4159,0.183938447,0.172878096
48453000601,63,117,10147,0.011530502,0.006208732,61,10129,0.011550992,0.006219765
48453000603,265,286,8045,0.035550031,0.032939714,290,8029,0.035620874,0.033005356
48453000604,200,267,7140,0.037394958,0.028011204,200,7105,0.03757917,0.028149191
48453000700,272,275,1123,0.244879786,0.24220837,269,1095,0.251141553,0.248401826
48453000801,112,147,1877,0.078316462,0.059669686,101,1604,0.091645885,0.069825436
48453000802,232,446,3377,0.132069885,0.06870003,206,2580,0.172868217,0.089922481
48453000803,436,423,2489,0.16994777,0.175170751,402,2285,0.18512035,0.190809628
48453000804,233,383,2452,0.156199021,0.09502447,248,1954,0.196008188,0.119242579
48453000901,373,366,2424,0.150990099,0.153877888,374,2120,0.172641509,0.175943396
48453000902,581,751,5473,0.137219075,0.1061575,526,4517,0.166260793,0.128625194
48453001000,384,511,3770,0.135543767,0.101856764,317,3303,0.154707841,0.116257947
48453001100,1731,1341,6001,0.223462756,0.288451925,1764,5952,0.225302419,0.290826613
48453001200,1460,1168,4972,0.234915527,0.293644409,1461,4661,0.250590002,0.313237503
48453001303,833,737,4029,0.182923802,0.206751055,835,3577,0.20603858,0.232876712
48453001304,915,738,4351,0.16961618,0.210296484,868,3718,0.198493814,0.246100054
48453001305,1226,1101,5681,0.193803908,0.215807076,1168,4931,0.223281282,0.248631109
48453001307,602,581,3775,0.153907285,0.159470199,568,3149,0.184503017,0.191171801
48453001308,556,505,2926,0.172590567,0.190020506,495,2681,0.188362551,0.207385304
48453001401,882,803,3360,0.238988095,0.2625,859,3072,0.261393229,0.287109375
48453001402,566,516,2617,0.197172335,0.216278181,548,2240,0.230357143,0.252678571
48453001403,161,182,1723,0.105629716,0.093441672,143,1510,0.120529801,0.106622517
48453001501,684,775,5413,0.143173841,0.126362461,646,4362,0.177670793,0.156808803
48453001503,630,701,3989,0.175733266,0.157934319,536,3489,0.200917168,0.180567498
48453001504,985,1020,5371,0.189908769,0.183392292,924,4558,0.223782361,0.216103554
48453001505,685,716,4342,0.164900967,0.1577614,652,3785,0.189167768,0.180977543
48453001602,676,693,3277,0.211473909,0.206286237,677,2919,0.237410072,0.23158616
48453001603,889,836,5075,0.164729064,0.175172414,857,3693,0.226374222,0.240725697
48453001604,548,512,4124,0.124151309,0.132880698,547,3164,0.16182048,0.173198483
48453001605,991,816,4041,0.201930215,0.245236328,991,3410,0.239296188,0.290615836
48453001606,0,4,17,0.235294118,0,0,17,0.235294118,0
48453001705,699,754,4900,0.153877551,0.142653061,680,4052,0.186080948,0.172507404
48453001706,649,558,3641,0.1532546,0.178247734,644,3148,0.1772554,0.206162643
48453001707,668,779,5061,0.15392215,0.131989725,600,4248,0.183380414,0.157250471
48453001712,440,520,4945,0.105156724,0.088978766,377,3918,0.132720776,0.112302195
48453001713,572,637,4448,0.143210432,0.128597122,478,3908,0.162998976,0.146366428
48453001714,1825,2616,15804,0.165527715,0.115477094,1614,12531,0.20876227,0.145638816
48453001716,917,1026,6312,0.162547529,0.145278834,860,5124,0.200234192,0.178961749
48453001718,1164,1169,6176,0.189281088,0.188471503,1136,5375,0.217488372,0.21655814
48453001719,485,552,4149,0.133044107,0.116895638,507,3415,0.161639824,0.142020498
48453001722,754,738,3746,0.197010144,0.201281367,690,3377,0.218537163,0.223275096
48453001728,937,1129,7403,0.152505741,0.126570309,832,6230,0.181219904,0.150401284
48453001729,584,629,4650,0.135268817,0.125591398,512,3957,0.158958807,0.147586555
48453001733,374,437,4158,0.105098605,0.08994709,356,3306,0.132183908,0.113127647
48453001737,1318,1695,10754,0.157615771,0.122559048,1185,8362,0.202702703,0.157617795
48453001738,842,985,6839,0.144026905,0.123117415,805,5454,0.180601393,0.154382105
48453001740,865,896,5172,0.173240526,0.167246713,771,4359,0.205551732,0.198440009
48453001741,200,274,2887,0.094908209,0.069276065,201,2465,0.111156187,0.081135903
48453001742,435,481,6075,0.079176955,0.071604938,362,4733,0.101626875,0.091907881
48453001745,258,350,2328,0.150343643,0.110824742,228,1949,0.179579271,0.132375577
48453001746,501,611,4244,0.143967955,0.11804901,461,3526,0.173284175,0.142087351
48453001747,664,911,5743,0.158627895,0.115619014,540,4755,0.191587802,0.139642482
48453001748,931,1059,6880,0.153924419,0.135319767,789,5725,0.184978166,0.162620087
48453001749,1026,1161,6507,0.178423237,0.157676349,912,5559,0.208850513,0.184565569
48453001750,838,810,5115,0.158357771,0.163831867,771,4322,0.187413235,0.193891717
48453001751,225,271,2164,0.125231054,0.103974122,220,1777,0.152504221,0.126617895
48453001752,579,625,3926,0.15919511,0.147478349,527,3435,0.181950509,0.168558952
48453001753,283,259,1114,0.232495512,0.254039497,296,1006,0.257455268,0.281312127
48453001754,738,744,5037,0.147706968,0.146515783,696,4312,0.172541744,0.171150278
48453001755,598,869,6214,0.13984551,0.09623431,554,4988,0.174218123,0.119887731
48453001756,412,612,4413,0.138681169,0.093360526,381,3679,0.166349552,0.111986953
48453001757,253,274,2211,0.123925825,0.114427861,241,1844,0.148590022,0.137201735
48453001760,1676,2177,17819,0.122172961,0.094056906,1533,12533,0.173701428,0.133726961
48453001761,1263,1365,7350,0.185714286,0.171836735,1188,5925,0.230379747,0.213164557
48453001764,567,904,7346,0.123060169,0.077184863,539,5938,0.152239811,0.095486696
48453001765,1592,1960,14723,0.133125042,0.108130137,1444,10815,0.181229773,0.147202959
48453001766,610,852,8232,0.103498542,0.074101069,558,6484,0.13140037,0.09407773
48453001768,823,1243,9182,0.135373557,0.089631888,780,6812,0.182472108,0.120816207
48453001769,586,755,5691,0.132665612,0.102969601,531,4612,0.163703382,0.127059844
48453001770,1178,1588,12934,0.122777176,0.091077779,1051,8932,0.17778773,0.131885356
48453001771,444,552,4289,0.128701329,0.103520634,418,3673,0.15028587,0.120882113
48453001772,496,616,4389,0.140350877,0.113009797,410,3641,0.16918429,0.136226311
48453001773,808,1071,8185,0.130849114,0.098717166,727,6749,0.158690176,0.11972144
48453001774,850,1139,8225,0.138480243,0.103343465,713,6484,0.175663171,0.131091919
48453001775,696,784,6993,0.112112112,0.0995281,598,5290,0.148204159,0.131568998
48453001776,498,593,3268,0.181456548,0.152386781,423,2724,0.217694567,0.182819383
48453001777,892,921,6270,0.146889952,0.142264753,755,5140,0.179182879,0.173540856
48453001778,447,531,4401,0.120654397,0.101567825,445,3701,0.143474737,0.120778168
48453001779,452,621,6244,0.099455477,0.072389494,393,5506,0.112786052,0.082092263
48453001780,269,386,4152,0.092967245,0.064788054,222,3653,0.105666575,0.073638106
48453001781,161,256,2491,0.102769972,0.064632678,139,1895,0.135092348,0.084960422
