ct,ctfid,sav,pav
48453000101,000101,799,758
48453000102,000102,326,347
48453000203,000203,324,373
48453000204,000204,585,592
48453000205,000205,1039,940
48453000206,000206,742,698
48453000302,000302,1162,1176
48453000304,000304,661,592
48453000305,000305,785,777
48453000306,000306,801,903
48453000307,000307,376,351
48453000401,000401,813,813
48453000402,000402,445,596
48453000500,000500,719,765
48453000601,000601,63,117
48453000603,000603,265,286
48453000604,000604,200,267
48453000700,000700,272,275
48453000801,000801,112,147
48453000802,000802,232,446
48453000803,000803,436,423
48453000804,000804,233,383
48453000901,000901,373,366
48453000902,000902,581,751
48453001000,001000,384,511
48453001100,001100,1731,1341
48453001200,001200,1460,1168
48453001303,001303,833,737
48453001304,001304,915,738
48453001305,001305,1226,1101
48453001307,001307,602,581
48453001308,001308,556,505
48453001401,001401,882,803
48453001402,001402,566,516
48453001403,001403,161,182
48453001501,001501,684,775
48453001503,001503,630,701
48453001504,001504,985,1020
48453001505,001505,685,716
48453001602,001602,676,693
48453001603,001603,889,836
48453001604,001604,548,512
48453001605,001605,991,816
48453001606,001606,0,4
48453001705,001705,699,754
48453001706,001706,649,558
48453001707,001707,668,779
48453001712,001712,440,520
48453001713,001713,572,637
48453001714,001714,1825,2616
48453001716,001716,917,1026
48453001718,001718,1164,1169
48453001719,001719,485,552
48453001722,001722,754,738
48453001728,001728,937,1129
48453001729,001729,584,629
48453001733,001733,374,437
48453001737,001737,1318,1695
48453001738,001738,842,985
48453001740,001740,865,896
48453001741,001741,200,274
48453001742,001742,435,481
48453001745,001745,258,350
48453001746,001746,501,611
48453001747,001747,664,911
48453001748,001748,931,1059
48453001749,001749,1026,1161
48453001750,001750,838,810
48453001751,001751,225,271
48453001752,001752,579,625
48453001753,001753,283,259
48453001754,001754,738,744
48453001755,001755,598,869
48453001756,001756,412,612
48453001757,001757,253,274
48453001760,001760,1676,2177
48453001761,001761,1263,1365
48453001764,001764,567,904
48453001765,001765,1592,1960
48453001766,001766,610,852
48453001768,001768,823,1243
48453001769,001769,586,755
48453001770,001770,1178,1588
48453001771,001771,444,552
48453001772,001772,496,616
48453001773,001773,808,1071
48453001774,001774,850,1139
48453001775,001775,696,784
48453001776,001776,498,593
48453001777,001777,892,921
48453001778,001778,447,531
48453001779,001779,452,621
48453001780,001780,269,386
48453001781,001781,161,256
48453001782,001782,319,705
48453001783,001783,527,688
48453001784,001784,626,839
48453001785,001785,805,867
48453001786,001786,765,1013
48453001804,001804,640,1079
48453001805,001805,311,629
48453001806,001806,406,757
48453001811,001811,258,427
48453001812,001812,448,709
48453001813,001813,364,739
48453001817,001817,684,589
48453001818,001818,522,894
48453001819,001819,273,315
48453001820,001820,471,1097
48453001821,001821,542,739
48453001822,001822,499,728
48453001823,001823,286,974
48453001824,001824,200,225
48453001826,001826,305,513
48453001828,001828,497,616
48453001829,001829,422,391
48453001832,001832,281,366
48453001833,001833,610,1142
48453001834,001834,1078,1798
48453001835,001835,587,975
48453001839,001839,962,1399
48453001840,001840,836,1544
48453001841,001841,1275,2026
48453001842,001842,869,1697
48453001843,001843,228,322
48453001844,001844,431,476
48453001845,001845,426,454
48453001846,001846,228,287
48453001847,001847,930,1089
48453001848,001848,525,854
48453001849,001849,1500,1346
48453001850,001850,622,708
48453001851,001851,1159,1920
48453001853,001853,398,532
48453001854,001854,415,879
48453001855,001855,1748,2803
48453001856,001856,544,1295
48453001857,001857,812,1094
48453001858,001858,2220,3429
48453001859,001859,251,416
48453001860,001860,403,647
48453001861,001861,443,736
48453001862,001862,509,984
48453001863,001863,262,587
48453001864,001864,550,643
48453001901,001901,1127,1100
48453001908,001908,1227,1220
48453001910,001910,583,651
48453001911,001911,860,772
48453001912,001912,458,581
48453001913,001913,485,621
48453001914,001914,1047,1121
48453001915,001915,206,212
48453001916,001916,308,428
48453001917,001917,640,749
48453001918,001918,229,254
48453001919,001919,508,533
48453002002,002002,344,420
48453002003,002003,318,348
48453002004,002004,636,563
48453002005,002005,868,871
48453002104,002104,288,398
48453002105,002105,481,754
48453002106,002106,312,401
48453002107,002107,307,534
48453002108,002108,248,520
48453002109,002109,287,761
48453002110,002110,213,608
48453002111,002111,381,728
48453002112,002112,320,669
48453002113,002113,331,456
48453002201,002201,85,198
48453002202,002202,321,694
48453002207,002207,566,1231
48453002208,002208,364,816
48453002209,002209,670,1482
48453002210,002210,258,501
48453002211,002211,214,508
48453002212,002212,50,183
48453002304,002304,739,612
48453002307,002307,653,805
48453002308,002308,903,866
48453002310,002310,126,282
48453002312,002312,380,760
48453002313,002313,425,581
48453002314,002314,542,656
48453002315,002315,256,266
48453002316,002316,513,649
48453002317,002317,369,512
48453002318,002318,626,759
48453002319,002319,4,8
48453002402,002402,1254,1360
48453002403,002403,329,336
48453002407,002407,655,794
48453002409,002409,411,437
48453002410,002410,397,400
48453002411,002411,343,806
48453002412,002412,275,585
48453002413,002413,201,389
48453002419,002419,354,552
48453002421,002421,1442,1668
48453002422,002422,686,816
48453002423,002423,912,951
48453002424,002424,417,462
48453002425,002425,485,614
48453002426,002426,721,1483
48453002427,002427,541,739
48453002428,002428,893,1048
48453002429,002429,155,171
48453002430,002430,165,215
48453002431,002431,577,932
48453002432,002432,118,278
48453002433,002433,366,1084
48453002434,002434,106,135
48453002435,002435,440,959
48453002436,002436,126,283
48453002500,002500,1001,1029
