CT,PAV,SAV,POP,PCT_PAV,PCT_SAV,TNC
6075010100,1037,1171,3967,0.261406604,0.261406604,1170
6075010200,1607,1795,4363,0.368324547,0.368324547,1822
6075010300,1370,1524,4377,0.312999772,0.312999772,1490
6075010400,1465,1737,4645,0.315392896,0.315392896,1737
6075010500,645,816,2691,0.239687848,0.239687848,835
6075010600,748,705,3505,0.213409415,0.213409415,901
6075010700,1143,549,5502,0.207742639,0.207742639,1198
6075010800,1530,1747,4927,0.310533793,0.310533793,1789
6075010900,1827,2068,4519,0.404292985,0.404292985,2114
6075011000,1971,2141,4989,0.395069152,0.395069152,2214
6075011100,1792,2065,4844,0.369942197,0.369942197,2106
6075011200,926,1104,3378,0.274126702,0.274126702,1151
6075011300,709,355,2907,0.243894049,0.243894049,746
6075011700,386,429,1704,0.226525822,0.226525822,462
6075011800,397,165,1558,0.254813864,0.254813864,405
6075011901,733,914,2613,0.280520475,0.280520475,921
6075011902,1032,1245,2825,0.365309735,0.365309735,1269
6075012000,990,1014,3951,0.250569476,0.250569476,1082
6075012100,1459,1699,4062,0.359182669,0.359182669,1717
6075012201,1165,1325,4710,0.247346072,0.247346072,1352
6075012202,587,616,3443,0.170490851,0.170490851,613
6075012301,267,240,2124,0.125706215,0.125706215,270
6075012302,800,908,2507,0.319106502,0.319106502,967
6075012401,733,653,4986,0.147011633,0.147011633,729
6075012402,1279,1428,4000,0.31975,0.31975,1456
6075012501,383,328,3559,0.107614498,0.107614498,385
6075012502,325,209,3707,0.087671972,0.087671972,245
6075012601,1122,1283,2592,0.43287037,0.43287037,1289
6075012602,1178,1307,2814,0.41862118,0.41862118,1308
6075012700,1441,1521,3637,0.396205664,0.396205664,1536
6075012800,1877,2081,4738,0.396158717,0.396158717,2050
6075012901,1239,1385,2754,0.449891068,0.449891068,1394
6075012902,1682,1788,3628,0.463616318,0.463616318,1760
6075013000,2348,2604,4957,0.473673593,0.473673593,2577
6075013101,1816,2015,3742,0.485301978,0.485301978,2061
6075013102,1263,1417,3084,0.409533074,0.409533074,1417
6075013200,1361,1454,4044,0.336547972,0.336547972,1441
6075013300,1364,1348,4626,0.294855166,0.294855166,1331
6075013400,1638,1740,4031,0.406350781,0.406350781,1734
6075013500,983,1046,2617,0.37562094,0.37562094,1037
6075015100,836,1015,2425,0.344742268,0.344742268,1041
6075015200,1548,1706,4385,0.353021665,0.353021665,1670
6075015300,791,860,2210,0.357918552,0.357918552,849
6075015400,2108,2231,5877,0.358686405,0.358686405,2145
6075015500,873,988,3740,0.23342246,0.23342246,1008
6075015600,890,957,3236,0.275030902,0.275030902,924
6075015700,2090,2304,9377,0.222885784,0.222885784,2298
6075015801,856,908,4129,0.20731412,0.20731412,868
6075015802,1441,1520,3506,0.411009698,0.411009698,1516
6075015900,1123,1171,4432,0.253384477,0.253384477,1145
6075016000,832,851,2807,0.296401853,0.296401853,870
6075016100,836,730,5562,0.150305645,0.150305645,749
6075016200,1119,1289,3236,0.345797281,0.345797281,1312
6075016300,1537,1736,4671,0.329051595,0.329051595,1716
6075016400,1638,1786,3915,0.418390805,0.418390805,1808
6075016500,1911,2094,5760,0.331770833,0.331770833,2104
6075016600,2403,2679,5787,0.415241058,0.415241058,2691
6075016700,2212,2552,5036,0.43923749,0.43923749,2585
6075016801,1380,1559,3424,0.403037383,0.403037383,1573
6075016802,1185,1326,3390,0.349557522,0.349557522,1329
6075016900,1137,1303,3133,0.362910948,0.362910948,1308
6075017000,1574,1745,4113,0.382689035,0.382689035,1766
6075017101,1410,1560,3743,0.376703179,0.376703179,1552
6075017102,1508,1641,3719,0.405485346,0.405485346,1608
6075017601,2002,2096,8432,0.237428843,0.237428843,2080
6075017700,629,624,1822,0.345225027,0.345225027,628
6075017801,652,632,3472,0.187788018,0.187788018,705
6075017802,1457,1446,5108,0.285238841,0.285238841,1386
6075017902,345,350,3129,0.110258869,0.110258869,331
6075018000,885,954,2972,0.297779273,0.297779273,930
6075020100,1659,1597,5911,0.28066317,0.28066317,1609
6075020200,1777,1908,6087,0.291933629,0.291933629,1916
6075020300,1416,1537,3413,0.414884266,0.414884266,1536
6075020401,1306,1313,3290,0.396960486,0.396960486,1330
6075020402,1723,1787,4646,0.370856651,0.370856651,1740
6075020500,1181,1261,2973,0.397241843,0.397241843,1266
6075020600,1935,2109,4953,0.39067232,0.39067232,2086
6075020700,2246,2491,5011,0.448213929,0.448213929,2487
6075020800,1883,1999,6305,0.298651864,0.298651864,1961
6075020900,1283,1293,4816,0.266403654,0.266403654,1218
6075021000,1898,2050,4835,0.392554292,0.392554292,2014
6075021100,1698,1722,4246,0.399905794,0.399905794,1671
6075021200,1018,1078,3091,0.329343255,0.329343255,1047
6075021300,971,981,2592,0.374614198,0.374614198,943
6075021400,1410,1554,3806,0.370467683,0.370467683,1543
6075021500,2100,2176,5155,0.407371484,0.407371484,2155
6075021600,1537,1438,4372,0.351555352,0.351555352,1398
6075021700,1075,1040,4235,0.253837072,0.253837072,975
6075021800,1319,1406,4075,0.323680982,0.323680982,1341
6075022600,1080,1208,2361,0.457433291,0.457433291,1217
6075022702,941,999,2264,0.415636042,0.415636042,989
6075022704,1128,1193,3365,0.335215453,0.335215453,1170
6075022801,1552,1552,5361,0.289498228,0.289498228,1434
6075022802,481,438,2335,0.205995717,0.205995717,424
6075022803,1319,1340,4677,0.282018388,0.282018388,1237
6075022901,1022,1018,5392,0.189540059,0.189540059,930
6075022902,670,642,2597,0.257989988,0.257989988,588
6075022903,907,851,3481,0.260557311,0.260557311,794
6075023001,538,436,5178,0.10390112,0.10390112,468
6075023003,501,402,3921,0.127773527,0.127773527,356
6075023102,403,317,4537,0.088825215,0.088825215,286
6075023103,197,153,2722,0.072373255,0.072373255,151
6075023200,576,414,4456,0.129263914,0.129263914,362
6075023300,469,332,3429,0.13677457,0.13677457,333
6075023400,449,318,3432,0.130827506,0.130827506,284
6075025100,1164,1181,3788,0.307286167,0.307286167,1117
6075025200,1557,1662,5809,0.268032364,0.268032364,1520
6075025300,1447,1470,4634,0.312257229,0.312257229,1368
6075025401,1087,969,4171,0.260608967,0.260608967,846
6075025402,770,698,3249,0.236995999,0.236995999,656
6075025403,935,836,5054,0.185001979,0.185001979,730
6075025500,1936,1662,9366,0.206705104,0.206705104,1463
6075025600,799,640,5503,0.145193531,0.145193531,594
6075025701,852,688,5301,0.160724392,0.160724392,583
6075025702,584,428,4698,0.124308216,0.124308216,348
6075025800,313,239,1853,0.168915273,0.168915273,213
6075025900,942,831,4897,0.192362671,0.192362671,678
6075026001,815,636,5940,0.137205387,0.137205387,578
6075026002,602,550,3570,0.168627451,0.168627451,475
6075026003,844,617,5342,0.157993261,0.157993261,534
6075026004,793,607,5043,0.15724767,0.15724767,544
6075026100,1160,878,7310,0.158686731,0.158686731,783
6075026200,958,808,7806,0.122726108,0.122726108,659
6075026301,652,554,5084,0.128245476,0.128245476,496
6075026302,848,631,5149,0.164692173,0.164692173,542
6075026303,601,446,4783,0.125653356,0.125653356,331
6075026401,425,304,3587,0.118483412,0.118483412,274
6075026402,726,555,5120,0.141796875,0.141796875,444
6075026403,504,365,3945,0.127756654,0.127756654,343
6075026404,315,238,3061,0.102907547,0.102907547,202
6075030101,1851,1925,4893,0.378295524,0.378295524,1854
6075030102,1825,1922,5090,0.358546169,0.358546169,1859
6075030201,1491,1485,4454,0.334755276,0.334755276,1435
6075030202,1717,1837,4384,0.39165146,0.39165146,1821
6075030301,1665,1567,5907,0.281868969,0.281868969,1523
6075030302,889,864,4108,0.216407011,0.216407011,748
6075030400,1332,1299,5626,0.23675791,0.23675791,1250
6075030500,504,478,3116,0.161745828,0.161745828,456
6075030600,541,493,2420,0.223553719,0.223553719,479
6075030700,1646,1498,6964,0.236358415,0.236358415,1437
6075030800,1463,1613,6768,0.216164303,0.216164303,1544
6075030900,1468,1276,6942,0.211466436,0.211466436,1246
6075031000,717,675,3799,0.188733877,0.188733877,579
6075031100,1887,1904,6726,0.280553078,0.280553078,1735
6075031201,1214,1094,7477,0.162364585,0.162364585,993
6075031202,448,377,3451,0.129817444,0.129817444,320
6075031301,717,590,4397,0.163065727,0.163065727,494
6075031302,964,805,6225,0.154859438,0.154859438,691
6075031400,912,720,6915,0.131887202,0.131887202,712
6075032601,1369,1331,5178,0.264387795,0.264387795,1227
6075032602,1061,952,5047,0.210223895,0.210223895,867
6075032700,1593,1487,7215,0.220790021,0.220790021,1370
6075032801,847,778,4505,0.188013319,0.188013319,703
6075032802,893,825,4226,0.211310932,0.211310932,793
6075032901,1015,886,5878,0.172677782,0.172677782,793
6075032902,719,647,4423,0.162559349,0.162559349,654
6075033000,1517,1410,8390,0.180810489,0.180810489,1272
6075033100,707,594,3978,0.177727501,0.177727501,538
6075033201,276,289,4281,0.064470918,0.064470918,292
6075033203,886,883,3580,0.247486034,0.247486034,863
6075033204,861,857,4678,0.184053014,0.184053014,822
6075035100,1843,1531,9020,0.204323725,0.204323725,1378
6075035201,1260,1164,6180,0.203883495,0.203883495,1011
6075035202,1247,1145,4911,0.253919772,0.253919772,1082
6075035300,1244,1033,7510,0.165645806,0.165645806,904
6075035400,1527,1207,7075,0.215830389,0.215830389,1151
6075040100,1476,1468,4670,0.316059957,0.316059957,1408
6075040200,1618,1601,5633,0.287235931,0.287235931,1548
6075042601,1039,991,3956,0.262639029,0.262639029,962
6075042602,986,1003,3157,0.312321825,0.312321825,993
6075042700,1234,1142,5397,0.228645544,0.228645544,1161
6075042800,530,467,2497,0.212254706,0.212254706,457
6075045100,1658,1704,5139,0.322630862,0.322630862,1660
6075045200,2184,2125,7113,0.307043442,0.307043442,2020
6075047600,1411,1371,5660,0.249293286,0.249293286,1295
6075047701,1122,1058,4342,0.258406264,0.258406264,1038
6075047702,918,871,4054,0.226443019,0.226443019,797
6075047801,962,870,4134,0.232704403,0.232704403,803
6075047802,841,789,3892,0.216084275,0.216084275,699
6075047901,1416,1361,7113,0.199072121,0.199072121,1219
6075047902,937,896,3858,0.242871954,0.242871954,882
6075060100,1291,1325,4117,0.313577848,0.313577848,1181
6075060400,343,336,1616,0.212252475,0.212252475,320
6075060502,308,226,3446,0.08937899,0.08937899,198
6075060700,4522,4834,11425,0.395798687,0.395798687,4603
6075061000,999,860,4813,0.207562851,0.207562851,675
6075061100,948,245,4572,0.207349081,0.207349081,954
6075061200,630,459,4451,0.141541227,0.141541227,364
6075061400,1907,1875,6124,0.311397779,0.311397779,1719
6075061500,5244,6293,13864,0.378245817,0.378245817,6224
6075980200,26,29,304,0.085526316,0.085526316,27
6075980300,32,43,84,0.380952381,0.380952381,45
6075980501,90,31,782,0.115089514,0.115089514,66
6075980600,56,45,513,0.109161793,0.109161793,56
6075980900,93,102,242,0.384297521,0.384297521,98
